amount,balance,trans_type_UNKNOWN,trans_type_WITHDRAWAL,trans_operation_COLLECTION_FROM_OTHER_BANK,trans_operation_CREDIT_IN_CASH,trans_operation_REMITTANCE_TO_OTHER_BANK,trans_operation_UNKNOWN,trans_operation_WITHDRAWAL_IN_CASH,trans_k_symbol_INSURANCE_PAYMENT,trans_k_symbol_INTEREST_CREDITED,trans_k_symbol_LOAN_PAYMENT,trans_k_symbol_OLD_AGE_PENSION,trans_k_symbol_PAYMENT_ON_STATEMENT,trans_k_symbol_SANCTION_INTEREST,trans_k_symbol_UNKNOWN,cluster
49790.0,120421.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
11218.0,77465.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
22898.0,54926.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
6550.0,47580.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
9711.0,106127.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
27260.0,50747.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
29961.0,79219.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
2500.0,34607.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
3700.0,22446.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
700.0,41469.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
4400.0,25067.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
39946.0,125386.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
45797.0,65988.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
39418.0,117202.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
3100.0,27395.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
2500.0,43112.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
11400.0,32257.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
47003.0,152655.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
13016.0,34845.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1000.0,25163.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
37533.0,71499.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
15272.0,129356.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1300.0,74455.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
36051.0,79279.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
400.0,44637.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
12730.0,53882.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
23469.0,49293.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
43120.0,77071.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
16968.0,24984.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
7777.0,87400.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
26380.0,92433.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
19606.0,89499.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
5585.0,68971.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
20695.0,117734.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
31064.0,97039.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
35354.0,43446.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
15000.0,50095.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
27771.0,85759.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
49399.0,92763.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
2800.0,66066.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
49148.0,132192.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
22678.0,67107.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
25875.0,58144.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
34253.0,86899.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
48032.0,103606.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
10300.0,63667.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
14964.0,39314.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
45102.0,84416.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
7500.0,17781.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
25420.0,40015.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
14300.0,13906.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
600.0,28500.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
42443.0,82442.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
2600.0,47459.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
35655.0,128819.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
34060.0,115711.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
900.0,13822.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
28800.0,81288.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
24848.0,52825.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
10100.0,71916.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
14047.0,63427.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
46503.0,125722.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
22564.0,88750.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1600.0,46991.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1700.0,27735.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
36519.0,65474.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
9000.0,47551.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
47719.0,77412.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
5186.0,114795.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
49594.0,80269.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
26214.0,76939.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
22367.0,35278.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
11924.0,35698.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
35496.0,69422.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
23397.0,75865.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1700.0,23449.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
41517.0,96862.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
24473.0,27349.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
33024.0,123290.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
37049.0,48611.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
36689.0,74249.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1000.0,18073.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
9700.0,32213.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
4000.0,24495.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
6800.0,38315.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
4200.0,36571.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
33601.0,51242.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
23000.0,27716.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
11181.0,82660.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
2600.0,42916.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
47113.0,76003.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
27638.0,77534.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
33435.0,80582.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
9600.0,45377.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
24146.0,111045.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
38881.0,81399.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
700.0,23989.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
8600.0,12862.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
13216.0,66269.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
35823.0,92934.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
8072.0,37279.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
7122.0,48714.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
6655.0,95405.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
10020.0,41200.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
26713.0,95953.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
23843.0,92049.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
8900.0,6361.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
48368.0,63565.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
33874.0,86711.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
49038.0,75331.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
27310.0,50105.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
33823.0,125816.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
29920.0,83715.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
100.0,28818.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1000.0,15100.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1800.0,22710.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
12127.0,103320.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
6569.0,69727.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
5574.0,29204.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
30952.0,45005.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1200.0,41300.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
200.0,57182.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1500.0,17150.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
46428.0,86341.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
13267.0,103165.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
2200.0,32598.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
34513.0,64074.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1100.0,48649.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
25069.0,95625.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
3400.0,29026.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
38569.0,77923.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1600.0,106282.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
49983.0,104682.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
43900.0,87704.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
22459.0,55483.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
5800.0,20997.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
29085.0,78378.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
8363.0,53625.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
29701.0,95880.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
30573.0,63561.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
6391.0,94625.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
18800.0,46367.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
45683.0,82563.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
39431.0,128228.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
700.0,46089.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
48413.0,83800.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
10300.0,25782.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
6800.0,9959.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
25125.0,80367.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1900.0,35051.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
13109.0,55495.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
8288.0,42591.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
28388.0,131320.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1300.0,17630.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
15798.0,78810.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1500.0,19397.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
14351.0,40400.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
9574.0,41484.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
12552.0,87791.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
6881.0,24952.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
14330.0,55620.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
6952.0,38654.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
6700.0,24920.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
22440.0,53288.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
14918.0,45408.9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
21091.0,60934.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
16141.0,41289.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
25359.0,52151.9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
21722.0,75908.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
2200.0,36700.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
24548.0,58497.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
22054.0,56186.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
3020.0,21035.2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
13803.0,100514.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
3063.0,29223.1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
11891.0,57200.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
38471.0,51129.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
33429.0,108894.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
28840.0,57681.4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
5931.0,29262.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
27488.0,100621.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
11065.0,49938.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
5078.0,43341.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
21172.0,50082.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
19829.0,20029.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
22733.0,52379.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
24800.0,63226.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
49519.0,84674.1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
11761.0,36003.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
10660.0,30098.2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
18278.0,48648.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
49765.0,81806.6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
19020.0,47207.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
17173.0,66961.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
24165.0,85743.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
13407.0,42259.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
23242.0,60717.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
47050.0,94464.8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
41038.0,94656.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
9410.0,39816.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
21388.0,49783.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
3447.0,23883.3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
13200.0,18069.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
8005.0,49688.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
7188.0,25971.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
900.0,21601.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
23426.0,86251.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
17977.0,60462.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
2957.0,17304.1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
5500.0,51517.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
3893.0,21757.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
11592.0,65874.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
3097.0,16493.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
19807.0,42192.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
11672.0,34382.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
11833.0,30703.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
49632.0,100259.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
4787.0,17309.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
24896.0,71854.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
26072.0,68077.9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
9729.0,24500.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
43713.0,85971.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
3279.0,17876.1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
35968.0,63194.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
400.0,17471.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
500.0,52220.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
10921.0,57240.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
13831.0,41913.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
20025.0,58507.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
7100.0,59258.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
12758.0,44502.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
33735.0,81888.4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
11538.0,34792.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
24150.0,64886.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
16688.0,47861.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
35742.0,73524.9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
4893.0,28256.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
37894.0,68541.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
13789.0,47953.9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
1300.0,16705.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
17842.0,44209.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
20551.0,28165.4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
3224.0,26317.6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
3454.0,21481.3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
15238.0,67778.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
5805.0,36482.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
16627.0,38983.6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
37791.0,70192.3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
15206.0,66453.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
4065.0,26132.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
23618.0,97277.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
41252.0,77114.2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
44900.0,80124.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
24381.0,41183.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
3270.0,19803.8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
12395.0,37121.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
17001.0,38092.4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
9568.0,39717.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
24245.0,50176.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
36191.0,68889.2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
4300.0,22600.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
23528.0,67023.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
13126.0,63795.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
23131.0,75424.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
18109.0,70235.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
37085.0,68070.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
17275.0,64403.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
8357.0,24904.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
23453.0,64100.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
23081.0,80263.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
11505.0,20973.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
13777.0,60878.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
23268.0,53088.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
3096.0,23581.4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
22485.0,30431.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
20510.0,47195.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
2946.0,16392.1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
7012.0,46611.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
24368.0,93214.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
16001.0,55696.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
14824.0,42758.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
18964.0,40992.6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
19159.0,87442.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
4500.0,22635.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
8806.0,32003.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
6862.0,35666.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1800.0,16218.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
21214.0,62036.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
11135.0,31269.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
