date,amount,balance,trans_type_UNKNOWN,trans_type_WITHDRAWAL,trans_operation_COLLECTION_FROM_OTHER_BANK,trans_operation_CREDIT_IN_CASH,trans_operation_REMITTANCE_TO_OTHER_BANK,trans_operation_UNKNOWN,trans_operation_WITHDRAWAL_IN_CASH,trans_k_symbol_INSURANCE_PAYMENT,trans_k_symbol_INTEREST_CREDITED,trans_k_symbol_LOAN_PAYMENT,trans_k_symbol_OLD_AGE_PENSION,trans_k_symbol_PAYMENT_ON_STATEMENT,trans_k_symbol_SANCTION_INTEREST,trans_k_symbol_UNKNOWN,cluster
1998-01-01,2400.0,39214.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,13290.0,114084.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,2500.0,61258.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,30163.0,55112.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,31039.0,32294.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,26417.0,25566.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,37993.0,84321.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,3500.0,25403.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,2100.0,30243.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,42430.0,78932.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,7846.0,31164.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,32164.0,39680.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,5200.0,46338.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,17300.0,49789.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,36835.0,125174.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,10724.0,106604.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,8426.0,95880.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,30487.0,91228.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,28521.0,46794.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,11502.0,62978.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,42363.0,127987.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,45558.0,62723.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,2400.0,20379.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,11100.0,82858.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,1000.0,30564.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,26569.0,55209.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,49790.0,120421.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,11218.0,77465.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,22898.0,54926.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,6550.0,47580.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,9711.0,106127.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,27260.0,50747.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,29961.0,79219.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,2500.0,34607.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,3700.0,22446.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,700.0,41469.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,4400.0,25067.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,39946.0,125386.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,45797.0,65988.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,39418.0,117202.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,3100.0,27395.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,2500.0,43112.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,11400.0,32257.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,47003.0,152655.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,13016.0,34845.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,1000.0,25163.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,37533.0,71499.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,15272.0,129356.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,1300.0,74455.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,36051.0,79279.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,400.0,44637.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,12730.0,53882.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,23469.0,49293.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,43120.0,77071.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,16968.0,24984.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,7777.0,87400.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,26380.0,92433.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,19606.0,89499.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,5585.0,68971.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,20695.0,117734.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,31064.0,97039.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,35354.0,43446.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,15000.0,50095.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,27771.0,85759.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,49399.0,92763.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,2800.0,66066.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,49148.0,132192.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,22678.0,67107.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,25875.0,58144.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,34253.0,86899.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,48032.0,103606.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,10300.0,63667.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,14964.0,39314.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,45102.0,84416.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,7500.0,17781.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,25420.0,40015.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,14300.0,13906.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,600.0,28500.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,42443.0,82442.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,2600.0,47459.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,35655.0,128819.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,34060.0,115711.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,900.0,13822.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,28800.0,81288.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,24848.0,52825.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,10100.0,71916.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,14047.0,63427.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,46503.0,125722.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,22564.0,88750.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-02,1600.0,46991.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,1700.0,27735.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,36519.0,65474.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,9000.0,47551.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,47719.0,77412.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,5186.0,114795.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,49594.0,80269.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,26214.0,76939.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,22367.0,35278.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,11924.0,35698.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,35496.0,69422.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,23397.0,75865.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,1700.0,23449.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,41517.0,96862.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,24473.0,27349.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,33024.0,123290.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,37049.0,48611.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,36689.0,74249.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,1000.0,18073.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,9700.0,32213.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,4000.0,24495.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,6800.0,38315.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,4200.0,36571.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,33601.0,51242.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,23000.0,27716.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,11181.0,82660.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,2600.0,42916.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,47113.0,76003.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,27638.0,77534.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,33435.0,80582.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,9600.0,45377.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,24146.0,111045.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,38881.0,81399.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,700.0,23989.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,8600.0,12862.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,13216.0,66269.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,35823.0,92934.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,8072.0,37279.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,7122.0,48714.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,6655.0,95405.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,10020.0,41200.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-03,26713.0,95953.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,23843.0,92049.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,8900.0,6361.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,48368.0,63565.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,33874.0,86711.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,49038.0,75331.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,27310.0,50105.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,33823.0,125816.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,29920.0,83715.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,100.0,28818.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,1000.0,15100.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,1800.0,22710.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,12127.0,103320.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,6569.0,69727.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,5574.0,29204.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,30952.0,45005.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,1200.0,41300.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,200.0,57182.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,1500.0,17150.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,46428.0,86341.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,13267.0,103165.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,2200.0,32598.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,34513.0,64074.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,1100.0,48649.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,25069.0,95625.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,3400.0,29026.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,38569.0,77923.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,1600.0,106282.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,49983.0,104682.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,43900.0,87704.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,22459.0,55483.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,5800.0,20997.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,29085.0,78378.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,8363.0,53625.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,29701.0,95880.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,30573.0,63561.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,6391.0,94625.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,18800.0,46367.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,45683.0,82563.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,39431.0,128228.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,700.0,46089.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,48413.0,83800.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,10300.0,25782.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,6800.0,9959.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,25125.0,80367.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,1900.0,35051.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,13109.0,55495.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,8288.0,42591.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,28388.0,131320.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,1300.0,17630.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,15798.0,78810.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,1500.0,19397.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-04,14351.0,40400.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,9574.0,41484.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,12552.0,87791.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,6881.0,24952.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,14330.0,55620.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,6952.0,38654.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,6700.0,24920.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,22440.0,53288.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,14918.0,45408.9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,21091.0,60934.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,16141.0,41289.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,25359.0,52151.9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,21722.0,75908.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,2200.0,36700.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,24548.0,58497.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,22054.0,56186.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,3020.0,21035.2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,13803.0,100514.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,3063.0,29223.1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,11891.0,57200.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,38471.0,51129.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,33429.0,108894.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,28840.0,57681.4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,5931.0,29262.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,27488.0,100621.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,11065.0,49938.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,5078.0,43341.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,21172.0,50082.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,19829.0,20029.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,22733.0,52379.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,24800.0,63226.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,49519.0,84674.1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,11761.0,36003.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,10660.0,30098.2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,18278.0,48648.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,49765.0,81806.6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,19020.0,47207.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,17173.0,66961.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,24165.0,85743.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,13407.0,42259.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,23242.0,60717.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,47050.0,94464.8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,41038.0,94656.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,9410.0,39816.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,21388.0,49783.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,3447.0,23883.3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,13200.0,18069.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,8005.0,49688.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,7188.0,25971.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,900.0,21601.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,23426.0,86251.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,17977.0,60462.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,2957.0,17304.1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,5500.0,51517.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,3893.0,21757.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,11592.0,65874.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,3097.0,16493.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,19807.0,42192.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,11672.0,34382.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,11833.0,30703.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,49632.0,100259.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,4787.0,17309.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,24896.0,71854.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,26072.0,68077.9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,9729.0,24500.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,43713.0,85971.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,3279.0,17876.1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,35968.0,63194.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,400.0,17471.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,500.0,52220.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,10921.0,57240.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,13831.0,41913.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,20025.0,58507.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,7100.0,59258.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,12758.0,44502.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,33735.0,81888.4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,11538.0,34792.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,24150.0,64886.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,16688.0,47861.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,35742.0,73524.9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,4893.0,28256.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,37894.0,68541.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-05,13789.0,47953.9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
